,,基準日：,11/16/84,,,,,,,,,,,,
個体名,性別,生年月日,死亡年月日,年齢,他園移動日,他園移動園館,来園日,来園元園館,父親,母親,ペア個体名,ペア個体名,ペア個体名,性格,特徴
胖胖（パンパン）,メス,11/16/84,9/28/98,13,,,11/16/84,,,,慶慶（ケイケイ）,,,,
秀秀（シュウシュウ）,メス,11/17/84,2/27/88,3,,,11/16/84,,,,慶慶（ケイケイ）,,,,
慶慶（ケイケイ）,オス,11/18/84,11/24/90,6,,,3/22/85,,,,胖胖（パンパン）,秀秀（シュウシュウ）,,,
遊遊（ユウユウ）,メス,7/5/86,12/12/05,19,12/16/87,神戸市立王子動物園,,,慶慶（ケイケイ）,胖胖（パンパン）,,,,,鯖江で最初の赤ちゃんとして誕生
鈴鈴（リンリン）,メス,7/5/86,3/17/06,19,,,,,慶慶（ケイケイ）,胖胖（パンパン）,,,,,鯖江で最初の赤ちゃんとして誕生
誕誕（タンタン）,オス,7/5/86,1/20/87,0,,,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,,,,,鯖江で最初の赤ちゃんとして誕生
麗麗（レイレイ）,メス,7/5/86,10/24/95,9,12/12/91,天王寺動物園,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,,,,,鯖江で最初の赤ちゃんとして誕生
陽陽（ヨウヨウ）,オス,7/26/87,11/26/07,20,11/24/88,長野市茶臼山動物園,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,,,,,
蘭蘭（ランラン）,メス,7/26/87,6/2/09,21,,,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,友友（ユウユウ）,,,おとなしい。優しい,若い頃は多くの取材のモデルを務める。2007年に動物愛護協会により「功労動物」として表彰される。子育て上手
愛愛（アイアイ）,メス,6/25/88,1/7/06,17,,,,,慶慶（ケイケイ）,胖胖（パンパン）,平平（ピンピン）,,,穏やか,
友友（ユウユウ）,オス,5/31/87,12/19/07,20,,,11/25/88,長野市茶臼山動物園,,,蘭蘭（ランラン）,麗麗（レイレイ）,鈴鈴（リンリン）,穏やか,愛愛、蘭蘭と相性が良い
天天（テンテン）,メス,6/26/89,1/30/04,14,11/29/90,周南市徳山動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,
松松（スイスイ）,オス,6/29/89,11/8/91,2,11/28/90,仙台市八木山動物公園,,,,,,,,,
吉吉（チィチィ）,オス,6/30/89,12/15/95,6,11/2/90,甲府市遊亀公園附属動物園,,,友友（ユウユウ）,鈴鈴（リンリン）,,,,,
花（ハナ）,メス,6/29/90,11/10/05,15,4/7/97,秋田市大森山動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,
美美（メイメイ）,メス,6/19/89,11/10/07,18,11/9/01,江戸川区自然動物園,11/28/90,仙台市八木山動物公園,,,平平（ピンピン）,,,慎重,
平平（ピンピン）,オス,6/28/89,1/5/08,18,,,11/29/90,周南市徳山動物園,,,愛愛（アイアイ）,美美（メイメイ）,,穏やか,
茜（あかね）,メス,6/18/91,7/30/13,22,4/22/93,旭川市旭山動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,
香（かおり）,メス,6/18/91,12/21/03,12,3/19/93,秋吉台自然動物公園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,
楠（くす）,オス,6/24/91,7/15/15,24,2/16/93,広島市安佐動物公園,,,友友（ユウユウ）,麗麗（レイレイ）,,,,,
梢（こずえ）,メス,7/4/91,4/16/09,17,3/18/93,京都市動物園,,,平平（ピンピン）,愛愛（アイアイ）,,,,,
陽陽（ヤンヤン）,オス,6/19/92,7/4/10,18,4/22/93,旭川市旭山動物園,,,平平（ピンピン）,美美（メイメイ）,,,,,
サイサイ,メス,6/19/92,7/1/06,14,4/21/94,姫路市立動物園,,,平平（ピンピン）,美美（メイメイ）,,,,,
サバタロウ,オス,6/22/92,2/18/00,7,2/15/95,釧路市動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,
春春（チュンチュン）,オス,6/22/92,9/18/10,18,2/22/94,池田動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,
涼（リョウ）,オス,7/13/92,2/13/13,20,3/26/96,三島市立公園楽寿園,,,平平（ピンピン）,愛愛（アイアイ）,,,,,
コウヘイ,オス,7/13/92,11/26/10,18,3/26/96,三島市立公園楽寿園,,,平平（ピンピン）,愛愛（アイアイ）,,,,,
好好（コウコウ）,オス,6/22/88,1/5/08,19,,,2/18/93,広島市安佐動物公園,,,マリモ,鈴鈴（リンリン）,花（ハナ）,慎重,体色は黒色の範囲が多い
ヒサシ,オス,6/30/93,8/29/11,18,,,,,友友（ユウユウ）,鈴鈴（リンリン）,ララ,,,気が強い　,人工哺育で成育。国内における人工保育としては2例目。タカシと相性が良い
タカシ,オス,7/19/93,9/7/12,19,,,,,平平（ピンピン）,愛愛（アイアイ）,チャチャ,,,穏やか,大柄な体格。ヒサシと相性が良い　手足が長い
ツヨシ,オス,7/19/93,3/10/03,9,3/30/99,長崎バイオパーク,,,平平（ピンピン）,愛愛（アイアイ）,,,,,
トミー,オス,6/24/95,6/19/14,18,8/24/98,富山市ファミリーパーク,,,平平（ピンピン）,愛愛（アイアイ）,,,,,
マリモ,メス,7/5/95,2/22/08,12,12/3/07,姫路市立動物園,11/16/96,釧路市動物園,,,好好（コウコウ）,,,気が強い　,大柄な体格
チャチャ,メス,6/17/97,4/7/12,14,,,4/2/99,長崎バイオパーク,,,タカシ,純純（シュンシュン）,,,多産。2000年から2008年にかけて計8頭を出産。子育て上手
コウセイ,オス,6/27/00,4/3/18,17,12/26/03,横浜市立よこはま動物園,,,タカシ,チャチャ,,,,,命名は一般公募で選ばれ、当時活躍していた柔道の井上康生選手から名付けられた。
ララ,メス,6/27/00,2/15/15,14,,,,,タカシ,チャチャ,ヒサシ,,,好奇心旺盛,
チャタ,オス,6/25/02,12/18/14,12,,,,,タカシ,チャチャ,ミンファ,,,愛嬌がある　,手足が長い　キララと相性が良い
キララ,メス,6/29/02,4/23/13,10,6/4/04,ひらかたパーク,,,ヒサシ,ララ,,,,慎重,チャタと相性が良い
純純（シュンシュン）,オス,6/28/01,12/30/16,15,2012/1～4まで多摩,東京都多摩動物公園,6/6/04,ひらかたパーク,,,チャチャ,ララ,,穏やか　おとなしい,体色は黒い部分が多い
チャオ,オス,7/6/06,2/18/23,16,1/23/09,長野市茶臼山動物園,,,純純（シュンシュン）,チャチャ,,,,,
シュララ,メス,6/23/07,10/1/16,9,12/22/10,仙台市八木山動物公園,,,純純（シュンシュン）,ララ,,,,慎重,体色は黒い部分が多い
ミンファ,メス,6/23/06,,,3/10/14,神戸市立王子動物園,3/21/08,市川市動植物園,,,チャタ,ガイア（王子）,,マイペース　好奇心旺盛,笹の枝を運んで食べる　身体能力が高い　運動場に生えている草をよく食べる（サラダバー）　子育て上手  2024年の西山動物園推しパン総選挙では2位に選ばれた。
来来（ライライ）,オス,7/1/08,2/4/22,13,6/2/11,東武動物公園,,,純純（シュンシュン）,チャチャ,,,,,
ヤンヤン,オス,6/24/10,1/23/21,10,,,,,純純（シュンシュン）,ララ,キラリ,,,穏やか,たけのこが好き　キラリと相性が良い　シンシンとは双子の兄弟
シンシン,オス,6/24/10,1/24/24,13,2/28/13,アドベンチャーワールド,,,純純（シュンシュン）,ララ,,,,,ヤンヤンとは双子の兄弟
