ファファ,オス,6/28/10,,,2/18/12,川崎市夢見ヶ崎動物公園,,,チャタ,ミンファ,,,,穏やか　おとなしい　のんびり,マイペース
ミンミン,メス,6/28/10,4/10/24,13,4/23/12,とくしま動物園,,,チャタ,ミンファ,,,,おしとやか,
チャーミン,オス,7/16/11,8/22/21,10,2/3/14,旭川市旭山動物園,,,チャタ,ミンファ,,,,好奇心旺盛　慎重,大柄な体格。空のペットボトルで遊ぶのが好き
ソウソウ,オス,7/8/12,12/1/20,8,3/2/15,埼玉県こども動物自然公園,,,チャタ,ミンファ,,,,好奇心旺盛,鯖江で2回目の人工哺育で成育
キラリ,メス,6/27/11,7/6/25,14,,,2/14/13,姫路セントラルパーク,,,ヤンヤン,,,慎重　マイペース,ベビーフェイス　雪が積もると活発に遊ぶ。子育て上手　
ミルキー,メス,7/7/13,,,2/26/20,アドベンチャーワールド,,,チャタ,ミンファ,たいよう,,,気が強い,ムータンと相性が良い
ライト,オス,7/18/13,,,,,,,ヤンヤン,キラリ,,,,慎重,人参が好き　体色は黒い部分が多い　かのこと相性が良い
ひかり,メス,7/18/13,3/10/24,10,,,,,ヤンヤン,キラリ,たいよう,,,愛嬌がある,りんごを食べる時に手首を曲げて食べる。
たいよう,オス,6/15/13,,,,,2/13/15,池田動物園,,,ひかり,ミルキー,かのこ,穏やか　くいしんぼう　,人参が好き　食べるのが早い　運動神経は鈍い　長い手足　2024年の西山動物園推しパン総選挙では5位に選ばれた。
ムータン,オス,6/19/14,1/31/24,9,1/18/21,長野市茶臼山動物園,6/10/15,京都市動物園,,,ティアラ,,,気が強い,ティアラと相性が良い
モッチー,オス,6/24/15,,,,,,,ヤンヤン,キラリ,,,,おっとり　好戦的　気が強い,ベビーフェイス　幼児体型　人参が嫌い　足裏マーキング　2024年の西山動物園推しパン総選挙では首位に選ばれた。
咲弥（さくや）,メス,6/24/15,,,11/20/17,天王寺動物園,,,ヤンヤン,キラリ,,,,,モッチーと双子として誕生
ティアラ,メス,7/6/15,,,3/16/16,神戸市立王子動物園,,,ガイア（王子）,ミンファ,ムータン,たいよう,,活発、好奇心旺盛　気が強い,運動神経が良い　笹の枝を運んで食べる　ムータンと相性が良い 2024年の西山動物園推しパン総選挙では3位に選ばれた。
梅香（めいしゃん）,メス,6/29/17,,,1/17/20,伊豆シャボテン動物公園,,,ヤンヤン,キラリ,,,,,
まつば,メス,7/17/14,,,,,3/26/18,静岡市立日本平動物園,,,モッチー,,,マイペース　子煩悩,体色は黒い部分が多い　落葉プールで背泳ぎする　りんごを両手に持って食べる。 
かのこ,メス,6/24/16,,,,,3/19/19,東京都多摩動物公園,,,たいよう,ライト,,くいしんぼう　慎重,顔の模様の白い部分多い　手足が長い
ニーコ,メス,7/12/19,,,,,,,モッチー,まつば,,,,ほんわか　頑固　マイペース,双子の令花と相性が良い　落葉プールで背泳ぎする
レイファ（令花）,メス,7/12/19,,,4/14/25,秋田市大森山動物園,,,モッチー,まつば,,,,くいしんぼう　慎重　活動的,双子のニーコと相性が良い。りんごを両手に持って食べる。 
ピースケ,オス,6/27/20,,,1/10/22,東京都立大島公園,,,たいよう,かのこ,,,,活発　人懐っこい　くいしんぼう,愛嬌がある　スナック菓子のモデルになったことがある。
カイト,オス,6/27/22,,,6/3/24,東京都多摩動物公園,,,ライト,かのこ,,,,慎重,表情豊か　　東京都多摩動物公園から海外の動物園（インドネシア）に移動した。
かえで,メス,6/27/22,,,3/3/25,いしかわ動物園,,,ライト,かのこ,,,,活発、好奇心旺盛,運動神経が良い
かんた,オス,7/12/18,,,,,11/10/22,秋田市大森山動物園,,,,,,穏やか　くいしんぼう　愛嬌がある,人参が好き　なんでもよく食べる 2024年の西山動物園推しパン総選挙では4位に選ばれた。
,,現在西山動物園で飼育中の個体,,,,,,,,,,,,,
